"rec_id","continent_fk","country_fk","processing_method","harvest_year","expiration_date"
1067,"South America","Colombia",NULL,NULL,"2012-03-14"
1068,"Asia","Taiwan","Natural - Dry","2017","2018-12-08"
1069,"North America","Guatemala","Washed - Wet","2017","2018-09-08"
1070,"North America","Honduras","Washed - Wet","2017","2018-08-23"
1071,"Africa","Mauritius",NULL,"2016","2017-02-10"
1072,"South America","Brazil","Semi-washed - Semi-pulped","2015","2016-11-16"
1073,"Asia","Myanmar","Washed - Wet","2015","2016-07-16"
1074,"North America","Guatemala","Washed - Wet","2014","2015-04-23"
1075,"South America","Brazil","Semi-washed - Semi-pulped","2013","2015-04-17"
1076,"North America","United States","Natural - Dry","2013","2015-02-04"
